vin,inv,desc,anio,kms,color,precio,bono,garantia,ubicacion,grupo,condicion,link,tipo,estatus,foraneo,cil,lts,trans
LS010315,9999,TOYOTA HIGHLANDER XLE,2020,"126,000",BLANCO,"$495,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,https://autostar.com.mx/auto/4166591/Seminuevo/Toyota-Highlander-2020,SUV MEDIANA,APARTADO,N,6,3.5,AUT
S5011684,5211,TOYOTA 4 RUNNER LIMITED HEV,2025,"23,876",BLANCO,"$1,230,000.00","$30,000.00",3 MESES MOTOR Y TRANSMISIÓN,TOYOTA CETYS,Mexicali,Financiera/Banco con convenio,,SUV MEDIANA,VENTA URGENTE,N,4,2.4,AUT
KBC07981,2,FORD EDGE SPORT FWD,2019,"94,928",BLANCO,"$350,000.00","$80,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/6279694/Seminuevo/Ford-Edge-2019,SUV MEDIANA,VENTA URGENTE,N,6,2.7,AUT
NS548754,4916,TOYOTA HIGHLANDER XLE 4X2,2022,"99,810",PLATA,"$630,000.00","$80,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR,Mexicali,Financiera/Banco con convenio,https://autostar.com.mx/auto/1312347/Seminuevo/Toyota-Highlander-2022,SUV MEDIANA,VENTA URGENTE,N,6,3.5,AUT
PC389631,5081,RENAULT KOLEOS ICONIC,2023,"36,159",NEGRO,"$355,000.00","$60,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR,Mexicali,Financiera/Banco con convenio,https://autostar.com.mx/auto/1745606/Seminuevo/Renault-Koleos-2023,SUV MEDIANA,VENTA URGENTE,N,4,2.5,AUT
H0128779,5102,MAZDA CX9 IGT,2017,"163,765",PLATA,"$285,000.00","$40,000.00",3 MESES MOTOR Y TRANSMISIÓN,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,https://autostar.com.mx/auto/8766169/Seminuevo/Mazda-CX-9-2017,SUV MEDIANA,VENTA URGENTE,N,4,2.5,AUT
xxxx,989898,FORD BRONCO BADLANDS,2022,"18,981",NEGRO,"$880,000.00",,VALIDAR,CONSIGNACION,Otro,CONSIGNACION,https://autostar.com.mx/auto/1661122/Seminuevo/Ford-Bronco-2022,SUV GRANDE,DISPONIBLE,N,4,2.3T,AUT
MW138414,5225,TOYOTA RAV4 XLE,2021,"69,866",GRIS,"$450,000.00",,EXCELLENCE (DEFENSA A DEFENSA),TOYOTA CETYS,Mexicali,Financiera/Banco con convenio,,SUV COMPACTAS,DISPONIBLE,N,4,2.5,AUT
MW164775,5274,TOYOTA RAV4 ADVENTURE,2021,"85,986",ROJO,"$450,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SUV COMPACTAS,DISPONIBLE,N,4,2.5,AUT
R0471130,5290,MAZDA CX5 SG,2024,"15,351",NEGRO,"$510,000.00",,VALIDAR,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,,SUV COMPACTAS,DISPONIBLE,N,4,2.5,AUT
RV075707,5276,TOYOTA COROLLA CROSS LE,2024,"42,992",BLANCO,"$440,000.00",,VALIDAR,AUTOSTAR TJ,Tijuana,Financiera/Banco con convenio,,SUV COMPACTAS,DISPONIBLE,N,4,2,AUT
MW125431,5269,TOYOTA RAV4 XLE,2021,"55,324",BLANCO,"$450,000.00",,EXCELLENCE (DEFENSA A DEFENSA),AUTOSTAR,Mexicali,Financiera/Banco con convenio,,SUV COMPACTAS,DISPONIBLE,N,4,2.5,AUT
